name,H_lig_ub_wt,H_lig_ub_mt,H_lig_b_wt,H_lig_b_mt,H_rec_ub,H_rec_b_wt,H_rec_b_mt,bias,aa_coef,aa_bias,grouped_pearson,grouped_spearman
params_6_5.pt,0.5542,-0.3612,-0.6054,0.5852,-0.0646,0.0763,-0.1057,0.6419,"[1.81326162815094, 3.249983310699463, 0.5009281039237976, 0.5006551146507263, 2.7306506633758545, 1.81326162815094, 0.5028075575828552, 1.3360989093780518, 1.309005856513977, 2.5488598346710205, 1.2781047821044922, 1.7264498472213745, 1.065928339958191, 1.28862726688385, 0.8372344970703125, 0.5014157295227051, 5.456812381744385, 0.5030575394630432, 3.7623040676116943, 2.91410493850708, 1.81326162815094]","[-0.46588608622550964, -1.6520957946777344, 2.4343903064727783, 3.3892130851745605, -6.033300876617432, 2.2842087745666504, -5.097146034240723, -1.2164982557296753, 0.9273625612258911, -0.3739769160747528, -3.829977035522461, -2.331820487976074, 5.734624862670898, -1.3924719095230103, -3.223292112350464, 0.3998265266418457, 1.7474621534347534, -0.2974913716316223, -1.2546025514602661, -6.626363277435303, 0.0]",0.2333,0.1725
params_5_9.pt,0.3068,-0.0726,-0.4922,0.0837,0.0336,0.1541,-0.2263,0.3745,"[1.81326162815094, 30.36573028564453, 2.500805139541626, 1.287447214126587, 0.5009724497795105, 1.81326162815094, 1.6540087461471558, 6.318368911743164, 0.5025316476821899, 2.512281656265259, 0.563234269618988, 1.0887118577957153, 0.5065809488296509, 3.04421329498291, 2.7274932861328125, 0.5040974617004395, 2.577442169189453, 0.5331372618675232, 0.5016867518424988, 0.5027634501457214, 1.81326162815094]","[7.326948642730713, -47.66160202026367, 0.08781071752309799, -3.1355788707733154, -0.5659691095352173, -4.906741142272949, -0.3172133266925812, 8.617264747619629, 1.206199288368225, -0.3197776973247528, -1.6407604217529297, -0.43940815329551697, 6.47443962097168, 2.0793466567993164, -7.883366584777832, 3.6779963970184326, -1.0350537300109863, -12.087299346923828, -3.4168198108673096, -15.425884246826172, 0.0]",0.1788,0.1986
params_1_6.pt,0.7458,-1.2672,-0.9665,1.1782,0.1578,0.2474,-0.3355,1.1137,"[1.81326162815094, 5.027753829956055, 0.5110424160957336, 0.5018948912620544, 0.5473518967628479, 1.81326162815094, 0.5066405534744263, 0.5018219947814941, 2.240635871887207, 0.5046629309654236, 0.570619523525238, 0.5843894481658936, 1.3306972980499268, 0.6302759647369385, 0.8031955361366272, 0.5090168118476868, 1.635263442993164, 0.5011627674102783, 0.5058222413063049, 1.297528624534607, 1.81326162815094]","[0.18432918190956116, -16.18252944946289, 1.3401206731796265, 2.352438449859619, 2.7336366176605225, 3.922576427459717, 2.8829104900360107, 1.5211926698684692, -3.1892943382263184, 3.6117331981658936, 3.91342830657959, 3.0359132289886475, 5.232568264007568, 3.5359175205230713, -0.7224551439285278, 3.447096824645996, 3.041609048843384, 3.084172487258911, 0.9001455903053284, 2.577211856842041, 0.0]",0.2189,0.1848
params_0_5.pt,0.3263,-0.0396,-0.4687,0.1324,-0.1375,-0.0705,0.0937,0.5190,"[1.81326162815094, 8.866141319274902, 1.906039834022522, 1.1268091201782227, 0.5045920610427856, 1.81326162815094, 0.5063842535018921, 0.5012835264205933, 0.5032156109809875, 3.697627067565918, 0.503021776676178, 1.007399082183838, 4.553674697875977, 2.1474857330322266, 1.2919142246246338, 0.6352774500846863, 2.8775596618652344, 2.834545612335205, 0.5231329202651978, 0.6754710674285889, 1.81326162815094]","[3.3837296962738037, -11.737776756286621, 3.4742679595947266, -4.078325271606445, -10.159217834472656, 0.7276862263679504, 1.1283708810806274, 1.8712581396102905, 3.1126787662506104, 3.8813252449035645, -4.439125061035156, -0.38342633843421936, 17.5054874420166, -3.4128470420837402, -5.098050594329834, 1.1026519536972046, -4.347382545471191, -0.6959506869316101, -5.948583126068115, -10.046266555786133, 0.0]",0.2003,0.2014
params_2_3.pt,0.3280,-0.0078,-0.2936,-0.0488,0.1001,0.0090,-0.0567,0.2429,"[1.81326162815094, 0.5021197199821472, 3.226341485977173, 0.9715859293937683, 8.493261337280273, 1.81326162815094, 1.1559689044952393, 0.5014557838439941, 2.7456772327423096, 0.5016651749610901, 0.5012149810791016, 0.5062521696090698, 8.45052719116211, 1.0388684272766113, 0.6352893114089966, 0.5004896521568298, 0.5014969110488892, 0.5009101629257202, 15.062541961669922, 0.5242411494255066, 1.81326162815094]","[-3.342757225036621, 2.3008081912994385, 6.046304702758789, 0.2923913896083832, 12.110230445861816, 12.52373218536377, 11.420703887939453, -9.958648681640625, -0.956640899181366, -2.065138339996338, -2.0950703620910645, -3.3263511657714844, 14.269586563110352, 1.8867664337158203, 6.89300537109375, 4.478409290313721, 3.880333423614502, 4.144640922546387, 6.55338716506958, 8.810378074645996, 0.0]",0.2275,0.2178
params_0_0.pt,0.0792,0.2646,0.0768,-0.2642,-0.1335,-0.2914,0.3684,1.2023,"[1.81326162815094, 1.5760221481323242, 2.368720531463623, 4.371579647064209, 0.580553412437439, 1.81326162815094, 0.639940083026886, 1.6877985000610352, 2.2077994346618652, 0.500314474105835, 0.501139760017395, 0.5016366839408875, 0.5810922980308533, 0.5006146430969238, 0.6323232650756836, 6.413997173309326, 0.5500785112380981, 0.5007326006889343, 0.5012252926826477, 0.5004509687423706, 1.81326162815094]","[-14.323001861572266, 11.0398588180542, 1.211445689201355, -5.62188196182251, -5.630799293518066, -1.108336091041565, -18.202442169189453, -8.624795913696289, -5.782190799713135, 2.225208282470703, -1.6880369186401367, -5.4802937507629395, -12.812751770019531, -2.5180459022521973, 1.2981529235839844, -4.399879455566406, -4.07077169418335, -4.8676981925964355, -1.4557956457138062, 2.0539116859436035, 0.0]",0.0901,0.0980
params_6_1.pt,0.3735,0.0301,-0.3512,-0.0691,0.0015,0.0344,-0.0529,0.7609,"[1.81326162815094, 0.5224335193634033, 6.486547946929932, 0.5014731884002686, 4.206173896789551, 1.81326162815094, 1.803722858428955, 0.5014743804931641, 1.4225184917449951, 0.7105351686477661, 0.5063758492469788, 3.71321702003479, 0.5004178285598755, 2.0336477756500244, 0.5000988245010376, 0.5007703900337219, 0.5020626187324524, 5.412021636962891, 18.879348754882812, 0.5188280344009399, 1.81326162815094]","[10.486080169677734, -1.9539052248001099, 1.0367975234985352, 8.07629680633545, 2.3554444313049316, -15.79318618774414, -23.822996139526367, 23.85110855102539, 14.820270538330078, -0.12578445672988892, -3.7359273433685303, -24.516498565673828, 16.715951919555664, -16.152263641357422, 20.471744537353516, 3.276784896850586, -19.56345558166504, -9.854196548461914, -6.323644161224365, -0.703834593296051, 0.0]",0.1717,0.1530
params_7_7.pt,0.3687,-0.8390,-0.5279,0.8891,0.0830,0.3605,-0.5274,0.0657,"[1.81326162815094, 14.14548110961914, 1.9370383024215698, 1.5577641725540161, 0.5006791353225708, 1.81326162815094, 0.5008470416069031, 0.5016713738441467, 2.3539111614227295, 4.341060638427734, 0.8027466535568237, 0.5008408427238464, 8.053413391113281, 0.5002614855766296, 0.5007544159889221, 1.1853151321411133, 1.6057095527648926, 3.898103952407837, 2.413038969039917, 1.7502115964889526, 1.81326162815094]","[5.493175506591797, 19.576091766357422, -6.83838415145874, -5.033781051635742, -12.852356910705566, 0.0702706053853035, -1.714089274406433, 3.0253615379333496, -7.047632694244385, 0.1949065774679184, -2.0574610233306885, -1.962289571762085, 1.32026207447052, -2.361769676208496, -4.619143009185791, 4.590695858001709, 0.6429707407951355, 4.835119724273682, -1.6111218929290771, -1.483958125114441, 0.0]",0.1940,0.1752
params_8_3.pt,0.2124,-0.5707,-0.2823,0.6458,0.3270,0.1146,-0.4797,-0.0400,"[1.81326162815094, 15.45161247253418, 0.5084099173545837, 0.8122891187667847, 2.110382080078125, 1.81326162815094, 0.5017947554588318, 0.5044471621513367, 1.5903993844985962, 5.811891078948975, 0.503410279750824, 0.501564621925354, 13.54151725769043, 0.5020990371704102, 0.6182544827461243, 0.5002699494361877, 5.768154144287109, 1.6534843444824219, 3.322661876678467, 1.0757559537887573, 1.81326162815094]","[9.779451370239258, 23.492076873779297, -4.3308820724487305, -5.113389492034912, -17.43756103515625, -3.831047296524048, -6.693408012390137, -10.941019058227539, -6.4123759269714355, 6.039032459259033, 7.948075294494629, -0.6239420175552368, 3.502525568008423, 2.584778070449829, 5.94265604019165, 9.798873901367188, 6.536095142364502, 7.105686664581299, 12.03044319152832, -5.808107852935791, 0.0]",0.1099,0.1029
params_2_7.pt,0.1344,0.0857,-0.2478,0.0262,-0.1038,-0.3749,0.4232,-0.2778,"[1.81326162815094, 0.5011066794395447, 0.5059220790863037, 0.5047985911369324, 4.003902912139893, 1.81326162815094, 0.5024023652076721, 0.5007985830307007, 0.7257958054542542, 3.174812078475952, 8.957439422607422, 0.8317605257034302, 0.5044348835945129, 0.5011886358261108, 1.0987927913665771, 0.5005711317062378, 0.503678560256958, 0.5431498289108276, 0.5546649694442749, 0.5251877903938293, 1.81326162815094]","[2.8531954288482666, 5.851649284362793, -3.078839063644409, -3.167558431625366, -10.483670234680176, -1.7445204257965088, -3.1390631198883057, -3.843336582183838, -7.606200218200684, -4.698741912841797, -21.48268699645996, -1.3534564971923828, -4.653254508972168, 0.26264604926109314, -8.07994270324707, 0.5402145385742188, -4.942811965942383, -2.7089176177978516, -12.509201049804688, -9.040555953979492, 0.0]",0.2203,0.2094
params_0_1.pt,0.3419,-0.1020,-0.2390,0.0624,0.1450,-0.0005,-0.1559,1.0693,"[1.81326162815094, 35.56219482421875, 0.5012474060058594, 0.5007086992263794, 6.929490566253662, 1.81326162815094, 0.5122843980789185, 0.5014960765838623, 1.2739979028701782, 1.4451755285263062, 0.5012550354003906, 0.5015113353729248, 0.5137110352516174, 0.500130295753479, 0.500659704208374, 0.5018215179443359, 2.361203193664551, 2.6665005683898926, 10.698604583740234, 2.950025796890259, 1.81326162815094]","[-13.365891456604004, -9.577618598937988, 3.5324957370758057, -9.521173477172852, -2.1177120208740234, -5.7285847663879395, -12.579010009765625, -1.1311107873916626, -7.310847282409668, -8.621721267700195, -10.46142292022705, -16.605195999145508, -10.979424476623535, -16.54754638671875, -2.61792254447937, -14.726365089416504, -17.429697036743164, -7.861962795257568, 11.5277738571167, -4.991329669952393, 0.0]",0.2518,0.2250
params_7_5.pt,0.4177,0.0403,-0.3036,-0.3219,0.2350,-0.4560,0.0192,0.6748,"[1.81326162815094, 0.501053512096405, 3.3679616451263428, 0.5020888447761536, 2.60138201713562, 1.81326162815094, 7.324160575866699, 4.831579208374023, 2.993778705596924, 0.5008919835090637, 0.5486827492713928, 0.501316487789154, 0.505976676940918, 0.5061724781990051, 2.2082927227020264, 5.071455955505371, 0.5021398067474365, 0.5016922354698181, 3.443833112716675, 0.948745846748352, 1.81326162815094]","[-0.46351584792137146, 1.0933300256729126, -1.6783326864242554, 1.086073637008667, 2.0771937370300293, -5.196355819702148, 7.193480491638184, 2.3342795372009277, 4.656024932861328, 0.9925949573516846, 1.4495220184326172, 0.40344756841659546, -3.0805535316467285, -1.9321235418319702, -4.109069347381592, -1.337634563446045, 2.225057363510132, 0.8399365544319153, 1.9372146129608154, 0.9305460453033447, 0.0]",0.1352,0.1119
params_9_9.pt,0.2743,-0.5015,-0.3085,0.5245,-0.1355,0.1148,-0.1807,0.9478,"[1.81326162815094, 4.7827677726745605, 0.5004543662071228, 0.500889241695404, 5.679102420806885, 1.81326162815094, 2.4936890602111816, 1.4428017139434814, 1.0693800449371338, 3.783291816711426, 3.190965175628662, 1.6552350521087646, 0.5028277039527893, 1.8359408378601074, 1.1439483165740967, 0.5017923712730408, 0.5321034789085388, 0.8763880729675293, 4.342320442199707, 5.369750499725342, 1.81326162815094]","[-5.404848098754883, 8.998230934143066, -13.134912490844727, 0.528216540813446, 0.023888394236564636, -0.1910291612148285, -5.384133338928223, -3.7328293323516846, 6.1887688636779785, 2.205993413925171, -1.329557180404663, -2.312852621078491, 25.541587829589844, 6.726987361907959, -3.294792890548706, 1.5579406023025513, -2.182875394821167, -5.667496204376221, 4.590986728668213, -6.332106113433838, 0.0]",0.0868,0.0977
params_5_8.pt,0.0303,-0.4274,0.0141,0.3858,0.1202,-0.3128,0.1668,0.4971,"[1.81326162815094, 10.184150695800781, 0.5043932795524597, 0.5003958940505981, 0.5034478902816772, 1.81326162815094, 0.5127933025360107, 4.401272296905518, 1.201974630355835, 0.5019500255584717, 5.5893940925598145, 0.5474478602409363, 3.731365203857422, 0.5063556432723999, 4.7362775802612305, 6.809540748596191, 0.5092031955718994, 10.906890869140625, 0.5011281967163086, 8.65953540802002, 1.81326162815094]","[-4.424283027648926, 15.462201118469238, 4.22819185256958, -6.843214511871338, 38.114715576171875, -2.81238055229187, -6.027626991271973, -10.278373718261719, -0.8172761797904968, 3.4496819972991943, -23.805484771728516, -28.81837272644043, 1.4399547576904297, -11.300461769104004, -17.372488021850586, -1.2251574993133545, -15.8646879196167, -1.83482027053833, 26.755735397338867, 17.14297866821289, 0.0]",0.1562,0.1261
params_4_7.pt,0.5896,0.5113,-0.4992,-0.5535,-0.0479,-0.4099,0.4571,0.9864,"[1.81326162815094, 1.2556185722351074, 1.9110032320022583, 2.564622640609741, 0.5000536441802979, 1.81326162815094, 0.5036144256591797, 1.9076409339904785, 0.500422477722168, 0.5009045004844666, 0.5006033778190613, 1.1618127822875977, 4.600437641143799, 0.5004540681838989, 0.5064401030540466, 3.2176733016967773, 5.57625150680542, 0.5012084245681763, 0.500446617603302, 0.5002625584602356, 1.81326162815094]","[-12.299036026000977, -10.539030075073242, -6.025487899780273, -18.324512481689453, 1.6284723281860352, -8.334031105041504, -3.590125560760498, -9.086006164550781, -0.34248170256614685, -1.7494128942489624, -15.109893798828125, -6.170495510101318, -11.835539817810059, -6.954346179962158, 2.8794772624969482, -14.966794967651367, -0.0324043370783329, -14.958650588989258, 8.274714469909668, 9.720717430114746, 0.0]",0.1711,0.1554
params_3_7.pt,0.5258,-1.0947,-1.1169,1.0416,0.4920,-0.2483,-0.1338,1.5588,"[1.81326162815094, 13.536140441894531, 0.5022741556167603, 0.5020856261253357, 1.1023006439208984, 1.81326162815094, 0.5042275786399841, 0.6071382164955139, 2.3320460319519043, 0.7599096894264221, 1.7409762144088745, 0.5041305422782898, 0.5153263807296753, 0.797602653503418, 1.377713918685913, 1.6587365865707397, 1.580155611038208, 0.5024935603141785, 0.5038042664527893, 1.7415764331817627, 1.81326162815094]","[-2.783167839050293, -22.404340744018555, 0.23541301488876343, 1.865648865699768, 0.36040541529655457, 0.14008468389511108, -0.7250677943229675, 0.5663707256317139, -2.1233155727386475, -1.769736886024475, 3.344405174255371, 3.520864963531494, -3.0705928802490234, 0.7752364277839661, -0.8659723997116089, 4.242242813110352, 1.4502538442611694, 0.4656829833984375, 0.5525492429733276, 1.083448886871338, 0.0]",0.1643,0.1452
params_2_2.pt,0.4374,-0.5779,-0.2926,0.5431,0.0217,-0.3985,0.2202,0.2654,"[1.81326162815094, 2.5724005699157715, 0.5002598166465759, 0.5006361603736877, 3.30855131149292, 1.81326162815094, 1.0965536832809448, 0.7729452848434448, 0.5016016960144043, 2.463214874267578, 0.5231116414070129, 0.8342077732086182, 0.501219630241394, 0.9583349227905273, 0.5012873411178589, 3.624443769454956, 0.5077957510948181, 1.9377645254135132, 3.0788516998291016, 4.470597267150879, 1.81326162815094]","[-5.403834819793701, 5.160055637359619, 0.7019684910774231, -1.5404778718948364, -3.3306219577789307, -3.45304536819458, 0.3246208727359772, -7.450331211090088, -0.9327952265739441, -0.34662196040153503, 1.5420606136322021, -1.6400607824325562, -7.822531700134277, -4.2746381759643555, 3.3662257194519043, 0.1662347912788391, -0.748631477355957, 1.4621814489364624, 5.0646796226501465, 0.3477671444416046, 0.0]",0.2160,0.1899
params_5_0.pt,0.6665,-0.5053,-0.6394,0.3824,-0.0297,0.0069,-0.0758,0.6536,"[1.81326162815094, 2.8141777515411377, 1.3159700632095337, 0.5017495155334473, 6.005429744720459, 1.81326162815094, 1.9949294328689575, 0.502864420413971, 0.5013981461524963, 2.349198341369629, 0.97012859582901, 1.1399457454681396, 0.5037065148353577, 1.4119784832000732, 0.7606507539749146, 0.5035077333450317, 6.785310745239258, 1.4793604612350464, 4.641945838928223, 3.5769543647766113, 1.81326162815094]","[-0.13644720613956451, 2.8462905883789062, -3.1383414268493652, -5.769608974456787, -2.6718316078186035, -2.6339597702026367, -1.0925379991531372, 1.5005818605422974, 3.8325729370117188, -1.1061941385269165, 1.423009991645813, 1.3383240699768066, -13.890892028808594, -1.895389199256897, 0.5647568106651306, 0.84031742811203, 1.0370680093765259, 1.8870530128479004, 4.7049455642700195, 4.457082271575928, 0.0]",0.2233,0.1806
params_1_2.pt,0.2580,-0.3604,-0.2304,0.2023,0.1656,0.3462,-0.4533,0.7387,"[1.81326162815094, 10.270312309265137, 0.5014796853065491, 3.680736780166626, 0.9485862255096436, 1.81326162815094, 9.266840934753418, 2.449455976486206, 0.5037713646888733, 0.5005565881729126, 3.650639772415161, 4.100034236907959, 0.503265917301178, 0.5007818341255188, 0.5022453665733337, 4.762112617492676, 0.5034171938896179, 0.5012972950935364, 1.81326162815094, 1.7143640518188477, 1.81326162815094]","[2.5719404220581055, -1.2369751930236816, 2.664534091949463, -1.842802882194519, 8.80419921875, 1.7039897441864014, -3.6332759857177734, 8.010991096496582, -6.256288051605225, 4.891558647155762, -2.454181671142578, 0.6445494294166565, 0.18739469349384308, 6.99821662902832, 3.039390802383423, 0.5795855522155762, -7.286501407623291, -3.695953845977783, 0.0, 6.112028121948242, 0.0]",0.0519,0.0283
params_7_9.pt,0.5931,0.3190,-0.6601,-0.3280,-0.0514,-0.0157,-0.1483,0.9071,"[1.81326162815094, 0.5336370468139648, 1.406436562538147, 2.830019950866699, 10.844290733337402, 1.81326162815094, 0.5118614435195923, 0.5038800239562988, 1.2608846426010132, 0.5009043216705322, 1.2492907047271729, 0.5032427310943604, 2.746797561645508, 5.440725803375244, 2.262289047241211, 7.565392017364502, 13.199361801147461, 16.692798614501953, 12.601799964904785, 3.7997055053710938, 1.81326162815094]","[23.58733558654785, 2.491187334060669, -7.117270469665527, -1.4341001510620117, -7.010537147521973, 8.624964714050293, 5.594736099243164, 5.95279598236084, -5.43504524230957, 4.944084644317627, 5.273420333862305, 5.430235385894775, 4.36589241027832, -4.761165142059326, -3.411728858947754, -6.459887504577637, -3.811974287033081, 6.71709680557251, -9.52869701385498, -0.824022114276886, 0.0]",0.0904,0.0997
params_0_6.pt,0.5700,-0.5213,-0.4935,0.4080,-0.0347,-0.0916,0.1694,0.1899,"[1.81326162815094, 0.5486046075820923, 0.7975447177886963, 0.502132773399353, 2.021083354949951, 1.81326162815094, 0.7440102696418762, 1.6683218479156494, 0.5104794502258301, 2.3215856552124023, 0.5004981160163879, 0.507012128829956, 0.5053922533988953, 0.5035287141799927, 1.258352279663086, 0.502345621585846, 0.5017324090003967, 2.6967265605926514, 0.8576395511627197, 0.5028185844421387, 1.81326162815094]","[0.5802955627441406, -4.886496543884277, 8.280832290649414, 3.8143932819366455, 3.248732566833496, 1.6356737613677979, 20.336013793945312, 12.544574737548828, 11.509441375732422, 0.11364709585905075, 10.67999267578125, 0.6461666822433472, 9.701667785644531, -3.566868782043457, 8.18644905090332, 0.08076728135347366, 9.074920654296875, 1.5499145984649658, 16.117341995239258, 10.584922790527344, 0.0]",0.1858,0.1700
params_2_8.pt,0.1115,-0.1731,-0.2721,0.3271,0.2361,-0.0764,-0.1267,0.6093,"[1.81326162815094, 5.045961856842041, 1.6084918975830078, 0.5003533959388733, 2.0527336597442627, 1.81326162815094, 3.5814602375030518, 3.8613507747650146, 0.5001682043075562, 4.1472554206848145, 3.2848217487335205, 0.5007849931716919, 0.572496771812439, 1.9338250160217285, 0.9996901750564575, 0.5018539428710938, 7.214926719665527, 1.8613145351409912, 2.6814231872558594, 3.777223587036133, 1.81326162815094]","[-1.0223798751831055, 0.5833525657653809, -0.8011077046394348, 1.8130226135253906, -5.419580936431885, -1.373459815979004, -2.5741004943847656, 2.040379047393799, 4.19340181350708, -6.850949764251709, -5.846208095550537, 4.086069583892822, 12.143604278564453, -0.24010764062404633, -0.35109755396842957, 0.8150350451469421, -2.509941816329956, 1.1055021286010742, -2.2619035243988037, -7.702061653137207, 0.0]",0.1656,0.1398
params_2_4.pt,0.7265,-2.2022,-0.9009,1.4797,0.0653,-0.2197,0.1421,-0.5337,"[1.81326162815094, 0.5019678473472595, 0.5015257596969604, 0.5030576586723328, 0.6375592947006226, 1.81326162815094, 0.5225231051445007, 0.5033186078071594, 2.1857962608337402, 0.7630017995834351, 0.5193936824798584, 0.5021466016769409, 1.3597912788391113, 0.5146259069442749, 1.3945807218551636, 0.5009481906890869, 1.158785104751587, 1.5228773355484009, 0.8689123392105103, 1.0516966581344604, 1.81326162815094]","[-1.0156683921813965, 5.087088108062744, -2.3378918170928955, -2.867436647415161, -2.2958357334136963, -1.7101720571517944, -2.5377085208892822, -4.054661273956299, -5.786606311798096, -1.6852302551269531, -0.8714314103126526, -0.7212104797363281, 1.4343491792678833, -0.6588208675384521, -7.245656967163086, -1.0005156993865967, -1.2839727401733398, -1.4313613176345825, -6.459100246429443, -2.0732157230377197, 0.0]",0.1200,0.1294
params_0_7.pt,0.1159,-0.2785,-0.2666,0.4318,0.2788,-0.0441,-0.2172,0.7230,"[1.81326162815094, 3.5658693313598633, 0.5003677606582642, 0.5002436637878418, 1.20509934425354, 1.81326162815094, 3.0868799686431885, 2.8603248596191406, 0.5007836222648621, 3.7628555297851562, 1.9294933080673218, 0.5008930563926697, 0.5668241381645203, 1.1108613014221191, 0.7813553810119629, 0.5091363787651062, 5.780842304229736, 2.5218515396118164, 1.4909842014312744, 1.7051210403442383, 1.81326162815094]","[-0.8026496767997742, -1.2974203824996948, 2.0763227939605713, 1.8114458322525024, -4.385161876678467, -2.3280489444732666, -4.248007297515869, -1.9787780046463013, 2.917802333831787, -8.003911018371582, -6.088274002075195, 3.3423550128936768, 9.74740219116211, 0.47304567694664, -0.8782509565353394, 0.9459792971611023, -3.4627373218536377, -0.5154948234558105, -3.792921543121338, -9.030282974243164, 0.0]",0.1580,0.1317
params_2_9.pt,0.2442,0.9637,-0.2307,-1.2269,-0.0837,-0.2052,0.1890,1.3322,"[1.81326162815094, 46.03849411010742, 0.5024192333221436, 0.5075786113739014, 0.5003385543823242, 1.81326162815094, 0.5092157125473022, 2.0743887424468994, 7.521867752075195, 2.833515167236328, 0.5299839973449707, 5.7537102699279785, 0.504188060760498, 5.5644917488098145, 0.501160204410553, 0.5039275288581848, 4.933837890625, 0.5010924935340881, 3.7918779850006104, 0.5006375908851624, 1.81326162815094]","[2.3259806632995605, 17.264551162719727, 1.6848992109298706, -5.8765130043029785, 14.117656707763672, -0.5573856830596924, -11.481178283691406, 11.334182739257812, -25.744115829467773, -6.310304164886475, 2.8134267330169678, -2.6973886489868164, 3.5516061782836914, -11.6271390914917, 1.7921243906021118, 5.2219557762146, -2.79356050491333, 10.645605087280273, 5.838080406188965, -0.4302946925163269, 0.0]",0.0515,0.0537
params_1_9.pt,0.1634,-0.0653,-0.1854,0.3585,0.0432,-0.2219,0.2081,-0.7907,"[1.81326162815094, 26.344968795776367, 0.501328706741333, 0.5010448098182678, 2.3815813064575195, 1.81326162815094, 0.5030343532562256, 9.45991325378418, 1.3553470373153687, 0.6017757654190063, 0.5153740644454956, 0.5034061670303345, 0.6253073215484619, 0.5014572143554688, 4.044124603271484, 0.5011424422264099, 0.5009294748306274, 3.838364362716675, 2.9837100505828857, 4.1764373779296875, 1.81326162815094]","[5.219245910644531, -4.738884925842285, 13.057266235351562, 2.0280539989471436, 0.8265697956085205, 2.8064212799072266, -0.42661458253860474, -17.461383819580078, 1.4834486246109009, 5.446307182312012, 0.38388389348983765, 7.286075592041016, 3.008789300918579, 0.8155757188796997, -10.780056953430176, 3.294316530227661, 3.1488428115844727, -0.2306196689605713, 1.444034457206726, -0.4296554923057556, 0.0]",0.1284,0.1087
params_5_1.pt,-0.0023,-0.2993,-0.1009,0.3293,0.1843,-0.3315,0.1542,0.8989,"[1.81326162815094, 3.8594558238983154, 0.5011352300643921, 0.5478593707084656, 2.0135860443115234, 1.81326162815094, 0.5012269616127014, 0.5018541216850281, 2.261932849884033, 0.500493586063385, 6.522017955780029, 0.5015280246734619, 0.5047181844711304, 0.5010225772857666, 0.8305814862251282, 0.5016810297966003, 3.6080639362335205, 2.5019774436950684, 2.8356332778930664, 3.819973945617676, 1.81326162815094]","[18.225502014160156, 19.897472381591797, 9.845717430114746, 6.884139060974121, -6.341391086578369, 7.9996185302734375, 1.090342402458191, -0.7598133087158203, -0.661445140838623, 5.990790367126465, 4.066954612731934, 12.166521072387695, 12.162410736083984, 9.474456787109375, 1.2181814908981323, 14.946403503417969, 11.763031959533691, 13.046636581420898, -14.718024253845215, 3.102020502090454, 0.0]",0.2276,0.2046
params_5_5.pt,0.4110,-0.8368,-0.4568,0.9527,0.0013,0.1493,-0.2107,0.6955,"[1.81326162815094, 0.5018067955970764, 0.5724818706512451, 1.76121187210083, 1.2653961181640625, 1.81326162815094, 0.5008776783943176, 1.8388359546661377, 1.1489589214324951, 0.501127302646637, 0.500696063041687, 0.7281317114830017, 0.5109629034996033, 1.6186882257461548, 0.5987973809242249, 0.5004326701164246, 1.081188440322876, 0.7048077583312988, 5.8500895500183105, 1.2176387310028076, 1.81326162815094]","[-4.871927738189697, -0.8601624965667725, -8.987527847290039, -1.7716732025146484, -4.547165870666504, 1.0837987661361694, -7.978885650634766, -1.1939219236373901, -2.925466299057007, -3.908877372741699, 1.815049648284912, 2.0785956382751465, -2.9389760494232178, 3.6993720531463623, -7.640418529510498, -4.174561500549316, -1.5132859945297241, 2.749582290649414, -11.565202713012695, -3.515568256378174, 0.0]",0.2227,0.2142
params_2_5.pt,0.2512,0.0896,-0.3825,0.1013,-0.1108,-0.0944,0.1411,0.6975,"[1.81326162815094, 0.9414172768592834, 1.7824110984802246, 2.026970386505127, 1.879158616065979, 1.81326162815094, 0.5014602541923523, 0.5003296136856079, 0.5038215517997742, 3.774646759033203, 0.5005893111228943, 1.6336097717285156, 0.9336099624633789, 2.6466972827911377, 3.15366268157959, 0.504598081111908, 5.151466369628906, 2.792196273803711, 9.361475944519043, 2.186815023422241, 1.81326162815094]","[-1.6226269006729126, -4.224560737609863, 0.6025652885437012, -2.7630903720855713, -7.497954845428467, 1.6788928508758545, 0.08434676378965378, -0.7188243269920349, 0.3284611999988556, 1.3489913940429688, -5.734996795654297, -0.5011582970619202, 9.954545021057129, 0.13459345698356628, -8.891070365905762, 3.5585765838623047, -1.416190505027771, -0.837954580783844, -6.963138580322266, -11.271378517150879, 0.0]",0.2475,0.2212
params_1_8.pt,0.0476,-0.1915,-0.2118,0.1412,0.0447,-0.1838,0.1263,0.8844,"[1.81326162815094, 16.02596664428711, 5.20117712020874, 1.4631845951080322, 7.908641338348389, 1.81326162815094, 6.355091094970703, 0.5113217830657959, 0.5018975734710693, 2.388063907623291, 2.337266445159912, 0.5097971558570862, 1.8252428770065308, 2.29841947555542, 2.236726760864258, 0.5001444816589355, 0.5005950331687927, 0.5082070231437683, 10.511455535888672, 4.169599533081055, 1.81326162815094]","[0.029855210334062576, 22.635929107666016, -5.435091018676758, 1.2324079275131226, -6.162304878234863, 3.0083038806915283, -11.134181022644043, -1.5103298425674438, -2.5361056327819824, -0.20207437872886658, -2.3184754848480225, 2.7567172050476074, 6.572520732879639, 0.29863348603248596, -6.054347515106201, 5.8744893074035645, 4.652479648590088, 5.027126789093018, -13.075209617614746, -0.1782274842262268, 0.0]",0.1786,0.1777
