name,H_lig_ub_wt,H_lig_ub_mt,H_lig_b_wt,H_lig_b_mt,H_rec_ub,H_rec_b_wt,H_rec_b_mt,bias,aa_coef,aa_bias,grouped_pearson,grouped_spearman
params_9_3.pt,0.3304,-0.0031,-0.4379,0.0724,0.1439,0.0879,-0.2162,0.6530,"[1.81326162815094, 5.411196231842041, 3.972259044647217, 0.5003679394721985, 1.4422268867492676, 1.81326162815094, 0.5009351372718811, 2.8330554962158203, 0.5251427292823792, 1.1117730140686035, 0.5038032531738281, 0.5004398226737976, 0.5020789504051208, 0.5008293986320496, 0.5036847591400146, 0.5048938989639282, 0.5000792145729065, 0.5017655491828918, 11.824119567871094, 2.9661309719085693, 1.81326162815094]","[15.49356460571289, -73.24048614501953, 0.9447135925292969, 11.689115524291992, 5.368350028991699, 16.02678871154785, 13.898578643798828, 9.68419075012207, 8.044530868530273, 12.588601112365723, 14.387921333312988, 15.732671737670898, 17.85948371887207, 16.04865837097168, 8.957889556884766, 15.42587947845459, 17.894168853759766, 14.638778686523438, 1.4886976480484009, 5.088479518890381, 0.0]",0.2602,0.2669
params_0_3.pt,0.6844,-1.7044,-0.9171,1.1543,0.3565,-0.3424,0.0459,0.4353,"[1.81326162815094, 0.500899612903595, 0.5014486908912659, 0.6775125861167908, 0.8075294494628906, 1.81326162815094, 0.513473629951477, 0.5003331303596497, 2.379721164703369, 0.5175485014915466, 0.7445972561836243, 0.5015072226524353, 2.3276925086975098, 0.869214653968811, 1.0052815675735474, 0.5012383460998535, 2.171886920928955, 0.503186821937561, 0.7695348262786865, 0.5018857717514038, 1.81326162815094]","[-1.3734551668167114, -4.078372955322266, -0.36278975009918213, 0.8981583118438721, 0.9475771188735962, -0.27720433473587036, -2.468494176864624, -2.5005736351013184, -1.1520010232925415, 2.2108912467956543, 1.3807414770126343, 3.6664953231811523, 4.716536045074463, 2.9451770782470703, -0.8595297932624817, 4.329452991485596, 1.0890003442764282, -0.15739184617996216, -4.1716203689575195, 0.39489510655403137, 0.0]",0.1419,0.1186
params_0_9.pt,0.1538,-0.3551,-0.3914,0.3924,0.1365,-0.2771,0.0307,1.1447,"[1.81326162815094, 0.5172446370124817, 0.5092470049858093, 1.3632420301437378, 2.045926094055176, 1.81326162815094, 0.531173825263977, 2.5055787563323975, 4.641631603240967, 0.5105950832366943, 1.81326162815094, 0.6820369958877563, 0.9222801923751831, 2.8694653511047363, 7.75970458984375, 0.5043634176254272, 13.971138000488281, 0.5504909157752991, 0.5213553309440613, 1.6639482975006104, 1.81326162815094]","[-0.14015862345695496, 12.705193519592285, 1.9685468673706055, 2.7456741333007812, 2.5132904052734375, -2.527785539627075, -5.421971797943115, 0.9805914759635925, -2.0145280361175537, -1.0292631387710571, 0.0, 4.352958679199219, 2.062485694885254, 1.6161736249923706, 5.274633407592773, -3.7184746265411377, 7.151102542877197, 1.942029595375061, 27.634668350219727, -0.39330896735191345, 0.0]",0.0208,0.0285
params_4_4.pt,0.8220,-1.0511,-0.9712,0.9770,-0.0342,-0.3518,0.3421,0.8583,"[1.81326162815094, 0.5007765889167786, 0.5023366808891296, 0.5087338089942932, 0.9465906620025635, 1.81326162815094, 0.5116266012191772, 0.5011914968490601, 2.4514641761779785, 1.2183918952941895, 0.6237583756446838, 0.5502774715423584, 2.087111473083496, 0.5135184526443481, 1.329351544380188, 0.503326952457428, 1.8478339910507202, 0.5016770362854004, 0.5030482411384583, 0.5044910907745361, 1.81326162815094]","[-5.373017311096191, 13.395524978637695, 0.9481766819953918, 0.8727995157241821, -2.522650718688965, -2.428041458129883, -5.200905799865723, 3.0155954360961914, -1.6743367910385132, -3.966749429702759, 3.2755658626556396, 1.0211081504821777, 5.780805587768555, 0.421305388212204, 0.6438036561012268, 3.974285125732422, 2.2089855670928955, 4.883105278015137, -4.553921222686768, 1.7944519519805908, 0.0]",0.1933,0.1682
params_2_0.pt,0.6476,-0.0471,-0.6203,-0.3331,0.2806,-0.3552,-0.2346,1.3800,"[1.81326162815094, 3.5054824352264404, 3.032191038131714, 0.5004062652587891, 0.5006473064422607, 1.81326162815094, 3.7628002166748047, 0.5017678141593933, 2.5116493701934814, 0.5002795457839966, 0.6948586702346802, 0.5001388788223267, 0.5009774565696716, 0.5025338530540466, 1.571326732635498, 0.5026301145553589, 0.5094881653785706, 0.5025643110275269, 1.456282615661621, 1.0908873081207275, 1.81326162815094]","[-0.5637078881263733, 3.865441083908081, -0.9061779379844666, 0.9398808479309082, 3.2962393760681152, -1.0751420259475708, -0.05232177674770355, -0.3010801672935486, 1.751580834388733, 2.983659029006958, -0.8535450100898743, 3.857606887817383, -2.0975420475006104, -0.24996261298656464, -3.2325010299682617, -1.9766900539398193, 2.209474802017212, 0.04883622005581856, 0.8199576139450073, -1.83636474609375, 0.0]",0.1337,0.1183
params_8_4.pt,0.4822,-0.0530,-0.5131,0.0903,-0.0870,0.0376,-0.0088,0.2513,"[1.81326162815094, 0.5007753372192383, 0.5021241903305054, 1.7771146297454834, 1.5180867910385132, 1.81326162815094, 2.306830883026123, 0.5493714809417725, 1.243593692779541, 1.8591663837432861, 1.7907706499099731, 0.5009960532188416, 5.6762824058532715, 0.8216112852096558, 1.9292770624160767, 0.5014845728874207, 1.7090905904769897, 0.5007767677307129, 4.108334541320801, 0.5024463534355164, 1.81326162815094]","[0.8738641738891602, -0.37457698583602905, -9.199617385864258, -0.9938704371452332, -7.464316368103027, -12.885808944702148, -7.613900661468506, 3.266725540161133, -1.0998634099960327, 1.7662391662597656, -9.651984214782715, 7.207295894622803, 2.592459201812744, 3.2584228515625, -4.83123254776001, -5.0114240646362305, -1.9153716564178467, 0.11490291357040405, -8.573038101196289, -5.323698997497559, 0.0]",0.2198,0.1782
params_5_3.pt,0.2790,0.2020,-0.1212,-0.2713,-0.0846,0.3087,-0.1431,-0.1740,"[1.81326162815094, 3.2942745685577393, 0.5010873079299927, 0.5013713836669922, 0.5009649991989136, 1.81326162815094, 0.5018781423568726, 1.2427525520324707, 1.5078222751617432, 0.5004554986953735, 0.5008369088172913, 1.4892652034759521, 0.5045529007911682, 0.5044186115264893, 1.0154500007629395, 0.5005004405975342, 0.5004369616508484, 0.5034343004226685, 4.433248519897461, 0.50568687915802, 1.81326162815094]","[-7.121833801269531, 2.5365891456604004, 1.410376787185669, 1.4652223587036133, 9.23315143585205, 4.965638637542725, 6.452637672424316, -1.6321849822998047, 3.2706987857818604, 2.480334520339966, -1.0583668947219849, 1.829909086227417, 6.077263355255127, 1.0308469533920288, 0.06940387189388275, 0.7477165460586548, 0.5136024355888367, 0.28905007243156433, 8.480857849121094, 7.891347408294678, 0.0]",0.1503,0.1343
params_1_4.pt,0.4452,-0.0612,-0.4446,0.0285,0.0819,-0.1565,0.1102,0.2547,"[1.81326162815094, 6.9203386306762695, 0.5015460252761841, 0.992000937461853, 7.200810432434082, 1.81326162815094, 2.7325708866119385, 0.5014994740486145, 0.9614030122756958, 0.5007572770118713, 1.872449517250061, 0.5008004307746887, 10.389249801635742, 1.655257225036621, 0.9108290672302246, 0.5433523654937744, 0.5006884336471558, 0.7366490364074707, 6.291466236114502, 0.6350841522216797, 1.81326162815094]","[-4.016883850097656, -2.0893921852111816, 7.429205894470215, -4.341182708740234, 13.095846176147461, 24.973148345947266, 9.651826858520508, -15.571077346801758, -7.779611110687256, -14.283824920654297, 0.8202925324440002, -6.05596399307251, 17.026201248168945, 4.291763782501221, 3.800135850906372, 11.16859245300293, -6.94251012802124, 3.1023547649383545, -4.699253082275391, 12.920231819152832, 0.0]",0.1612,0.1439
params_7_2.pt,-0.2972,0.0811,0.2293,-0.0745,0.1320,-0.5611,0.2877,0.7222,"[1.81326162815094, 0.5031205415725708, 0.5018662810325623, 3.530390977859497, 0.5048760771751404, 1.81326162815094, 1.958539366722107, 13.777290344238281, 2.6335158348083496, 0.5019671320915222, 1.2491493225097656, 4.892231464385986, 0.5016882419586182, 4.65102481842041, 1.0384643077850342, 0.5010928511619568, 0.5062967538833618, 3.726860284805298, 3.5740559101104736, 0.5006052851676941, 1.81326162815094]","[-5.153016090393066, -40.14523696899414, -0.8357502818107605, 2.666853904724121, 7.20621395111084, -0.7759420871734619, -2.0210604667663574, -4.062285900115967, -2.9713246822357178, 0.32528233528137207, 1.513352394104004, 0.005672067869454622, 0.23435771465301514, -4.606252193450928, 0.8166326284408569, -0.377214252948761, 5.0926032066345215, 3.7804207801818848, 3.466337203979492, -4.286523818969727, 0.0]",0.0604,0.0842
params_8_1.pt,0.0164,-0.0120,-0.1493,0.1884,-0.0193,-0.0195,-0.0416,0.2774,"[1.81326162815094, 4.30300235748291, 5.090696334838867, 0.7588379383087158, 1.46315598487854, 1.81326162815094, 6.267056941986084, 2.8618884086608887, 0.5009002089500427, 5.8017377853393555, 3.412236213684082, 0.5020920038223267, 8.181543350219727, 2.1939029693603516, 1.701555848121643, 2.1013665199279785, 0.5012091398239136, 1.0573077201843262, 4.166119575500488, 4.391055107116699, 1.81326162815094]","[1.830458402633667, -2.6799263954162598, -4.812761306762695, 3.044955253601074, -2.171067953109741, 2.044614553451538, -6.921624183654785, -0.5741531252861023, 2.9159631729125977, -8.536836624145508, -8.290847778320312, 0.5775126814842224, 17.197141647338867, -2.3523569107055664, -2.5180492401123047, -0.5299157500267029, 2.2898294925689697, 0.6122540235519409, -1.7797812223434448, -4.1056671142578125, 0.0]",0.1821,0.1475
